Sample No,Chl,L_412,L_442,L_490,L_510,L_560,L_620,L_665,L_681
#1,3.723,0.00613746,0.00769088,0.0111454,0.0129805,0.0178643,0.0120854,0.00887393,0.00828845
#2,3.673,0.0052895,0.00667479,0.00994328,0.0116342,0.0163766,0.00967794,0.00679213,0.00629314
#3,2.147,0.00765239,0.00991886,0.01368,0.015437,0.0204015,0.0139072,0.00998925,0.00940403
#4,2.97227,0.00917067,0.0122398,0.0183056,0.0197908,0.0230021,0.0133235,0.00948215,0.00896185
#5,3.04655,0.00668097,0.0094488,0.0161663,0.018543,0.0226521,0.0101703,0.00639082,0.0059898
#6,5.495,0.00811446,0.0115773,0.0182194,0.0197038,0.0238079,0.0106152,0.00616562,0.00609622
#7,8.17532,0.00769644,0.00877303,0.0110525,0.0125795,0.0156308,0.0104191,0.00851685,0.00842924
#8,13.24,0.007252378,0.009011528,0.013690062,0.015967662,0.022751746,0.015370331,0.010130454,0.009560402
#9,2.707274889,0.007695727,0.010109755,0.013573528,0.014382394,0.015562291,0.009217907,0.007055194,0.006511438
#10,4.074264556,0.006435767,0.008833226,0.012549802,0.013683739,0.015779606,0.009770682,0.007374384,0.006825924
#11,2.05,0.008926001,0.010425539,0.013888061,0.015344885,0.016718566,0.012993668,0.010425218,0.009652795
#12,2.02,0.007276711,0.008804121,0.012602271,0.01424242,0.016341522,0.012712779,0.009800281,0.008931995
#13,2.82,0.004812517,0.006615804,0.011265472,0.013273582,0.015669256,0.010808112,0.007234518,0.006542296
#14,2.4,0.002606259,0.005482187,0.011490173,0.013839675,0.016328463,0.011290001,0.007996504,0.007300231
#15,2.1,0.004160066,0.007417828,0.014068925,0.016828234,0.020300918,0.016214779,0.013119973,0.012165444
#16,0.85,0.009960324,0.01198712,0.015657056,0.017637164,0.019832586,0.015889334,0.012601735,0.011524356
#17,0.9,0.009648388,0.012310682,0.016877188,0.019081861,0.022198034,0.01734189,0.01350856,0.0123923
#18,0.9,0.009980904,0.012657686,0.016868221,0.01900121,0.02147858,0.01707789,0.013592952,0.012534127
#19,2.55,0.003162001,0.00552735,0.009523744,0.011759443,0.015883193,0.012307668,0.008865721,0.007945734
#20,2.55,0.003468775,0.006034392,0.011913104,0.014995443,0.020325816,0.016686334,0.013223875,0.012193744
#21,2.7,0.003257485,0.005671754,0.010184024,0.012389536,0.016507184,0.012487223,0.008695945,0.007678221
#22,2.75,0.007993485,0.010038985,0.013545007,0.015014187,0.016304797,0.010105001,0.006245805,0.005666016
#23,3.2,0.007273098,0.008893204,0.012686975,0.014292187,0.015957077,0.009672557,0.005785008,0.005208302
#24,3.7,0.008463485,0.010830145,0.015050783,0.01723335,0.020808268,0.015954445,0.011669372,0.010433304
#25,1.4,0.007299936,0.009915357,0.014519726,0.016614745,0.018513488,0.01206289,0.007753651,0.006952057
#26,2,0.009294259,0.011758281,0.015475198,0.017292048,0.019430088,0.01494489,0.011049987,0.009973915
#27,2,0.003802969,0.006549685,0.010966656,0.013335768,0.017435932,0.013975334,0.010451372,0.009520181
#28,3.8,0.007282582,0.00900401,0.012929797,0.014670048,0.016428247,0.010102668,0.006162435,0.005526448
#29,3.8,0.007722969,0.009210697,0.012254643,0.013971675,0.016090469,0.010860557,0.007284896,0.006611304
#30,4.76,0.002458711,0.00509234,0.009883379,0.012194466,0.016763856,0.013614445,0.009979581,0.008957259
#31,5.3,0.00531142,0.007599891,0.012022799,0.014121117,0.017566747,0.012903001,0.008970868,0.007984488
#32,2.9,0.006195807,0.007644205,0.011285748,0.012956327,0.015172616,0.010435001,0.007032868,0.006313924
#33,3.85,0.008764646,0.010518962,0.014380302,0.016249443,0.018649384,0.013342223,0.009277344,0.008409717
#34,4.5,0.007472646,0.0091005,0.012485331,0.014211675,0.016066866,0.011547334,0.00777463,0.006923683
#35,7,0.007301162,0.008959658,0.012464155,0.014238001,0.01614871,0.010653112,0.006836686,0.006150423
#36,0.56,0.005368711,0.008784736,0.01423929,0.015660699,0.016650751,0.010333334,0.006619022,0.006083015
#37,6.121,0.007816581,0.010185632,0.014954277,0.016899962,0.02089901,0.013788591,0.008443,0.006542345
#38,4.189,0.007426774,0.010060226,0.015028593,0.017131573,0.021234687,0.014263864,0.009023,0.007159582
#39,2.95,0.007559227,0.010601764,0.016654395,0.01856935,0.019599272,0.012327445,0.007765134,0.006908986
#40,2.796,0.008657097,0.011792803,0.017453533,0.0195692,0.023351374,0.015321136,0.009285,0.007138818
#41,2.901,0.008447226,0.011442589,0.016915462,0.018571056,0.020811627,0.013786909,0.008508,0.006631055
#42,3.16,0.009494775,0.011989084,0.015909246,0.017784559,0.020147242,0.01530289,0.011362393,0.010260895
#43,0.55,0.00772942,0.009819199,0.014232547,0.015732652,0.016757977,0.010204223,0.006484588,0.005871824
#44,0.6,0.007965614,0.010617332,0.014721726,0.016199257,0.017324496,0.01042989,0.006412225,0.00570885
#45,0.75,0.009556388,0.013018297,0.018278848,0.020688094,0.024079463,0.018900334,0.014815567,0.013558434
#46,0.9,0.008758517,0.010919212,0.014786681,0.016532513,0.018698105,0.012957334,0.009147008,0.008285303
#47,1,0.007710711,0.009616298,0.013802479,0.015512234,0.017591506,0.011593112,0.007804658,0.00709339
#48,1,0.00765742,0.010092714,0.013803304,0.015291768,0.016743961,0.01049789,0.006640225,0.005959152
#49,1.1,0.008303807,0.010462761,0.014000458,0.015793396,0.018425234,0.013766223,0.010237078,0.009373201
#50,1.3,0.008329872,0.010490435,0.014264126,0.015792652,0.017145925,0.010918112,0.007120812,0.006474179
#51,1.8,0.008771162,0.010997386,0.014535938,0.016336699,0.019066788,0.014100557,0.010124616,0.009131674
#52,1.9,0.004987743,0.00736375,0.011223835,0.013167861,0.016422909,0.011577668,0.007789428,0.006877485
#53,0.5,0.009503549,0.011936327,0.015718589,0.017356094,0.018431419,0.013192223,0.009397903,0.008435606
#54,0.7,0.008358453,0.010973539,0.014737629,0.016395722,0.017719496,0.012842223,0.009439372,0.00857885
#55,0.85,0.007139936,0.009796043,0.013991893,0.015634094,0.017423242,0.01179989,0.008095302,0.007304538
#56,1.9,0.007468775,0.009378936,0.012725405,0.014261908,0.01651726,0.011586112,0.008023008,0.007180927
#57,2.35,0.00766542,0.009557075,0.012642168,0.014028094,0.016216572,0.012671779,0.009548826,0.008821221
#58,3.15,0.007364969,0.009323342,0.012695893,0.014053071,0.015266596,0.00914189,0.00573877,0.005240328
#59,3.35,0.008626646,0.010968571,0.015088553,0.016988466,0.019062038,0.01329389,0.009638812,0.008819417
#60,0.91,0.007962904,0.010375065,0.016657651,0.019013815,0.021545118,0.014340445,0.009952085,0.009137773
